DATE,QITR628BIS
1980-01-01,57.1191
1980-04-01,60.9514
1980-07-01,65.1411
1980-10-01,67.72399999999999
1981-01-01,69.48
1981-04-01,70.8063
1981-07-01,71.7327
1981-10-01,70.0233
1982-01-01,68.4568
1982-04-01,68.4317
1982-07-01,67.571
1982-10-01,66.1406
1983-01-01,64.9951
1983-04-01,64.1708
1983-07-01,63.5042
1983-10-01,61.8727
1984-01-01,60.4538
1984-04-01,59.3091
1984-07-01,58.6682
1984-10-01,57.486999999999995
1985-01-01,56.1925
1985-04-01,55.1617
1985-07-01,54.8957
1985-10-01,53.9568
1986-01-01,53.5196
1986-04-01,53.4831
1986-07-01,53.6083
1986-10-01,53.2769
1987-01-01,53.2546
1987-04-01,53.7404
1987-07-01,54.3662
1987-10-01,54.589
1988-01-01,55.4765
1988-04-01,57.2886
1988-07-01,59.0644
1988-10-01,60.1338
1989-01-01,61.24
1989-04-01,63.2659
1989-07-01,65.6589
1989-10-01,67.1374
1990-01-01,68.4477
1990-04-01,70.3509
1990-07-01,71.4922
1990-10-01,73.1584
1991-01-01,75.6889
1991-04-01,77.37
1991-07-01,77.6109
1991-10-01,78.3819
1992-01-01,82.135
1992-04-01,84.4495
1992-07-01,85.4558
1992-10-01,85.3523
1993-01-01,85.1951
1993-04-01,84.863
1993-07-01,84.8369
1993-10-01,83.0974
1994-01-01,81.6033
1994-04-01,80.1644
1994-07-01,80.2314
1994-10-01,78.8294
1995-01-01,77.2204
1995-04-01,76.625
1995-07-01,76.7402
1995-10-01,76.6391
1996-01-01,76.5982
1996-04-01,76.1241
1996-07-01,76.8425
1996-10-01,77.2544
1997-01-01,77.9983
1997-04-01,77.7546
1997-07-01,77.6458
1997-10-01,77.5161
1998-01-01,75.9364
1998-04-01,76.3598
1998-07-01,76.3726
1998-10-01,76.1329
1999-01-01,75.7172
1999-04-01,75.7648
1999-07-01,75.7908
1999-10-01,75.7102
2000-01-01,76.3039
2000-04-01,76.4064
2000-07-01,76.9951
2000-10-01,77.3332
2001-01-01,77.5702
2001-04-01,77.8781
2001-07-01,79.271
2001-10-01,81.1367
2002-01-01,85.0609
2002-04-01,86.2191
2002-07-01,86.8406
2002-10-01,86.9043
2003-01-01,88.1578
2003-04-01,88.7015
2003-07-01,89.8766
2003-10-01,90.0255
2004-01-01,90.4413
2004-04-01,91.5757
2004-07-01,93.5718
2004-10-01,94.8074
2005-01-01,96.1263
2005-04-01,97.2307
2005-07-01,98.5355
2005-10-01,99.0836
2006-01-01,99.6567
2006-04-01,100.8067
2006-07-01,102.0859
2006-10-01,102.7719
2007-01-01,103.7027
2007-04-01,104.2274
2007-07-01,105.0506
2007-10-01,104.863
2008-01-01,104.3853
2008-04-01,104.2421
2008-07-01,103.6755
2008-10-01,102.5444
2009-01-01,103.1062
2009-04-01,102.4725
2009-07-01,102.3805
2009-10-01,101.6107
2010-01-01,99.6538
2010-04-01,99.9677
2010-07-01,100.2773
2010-10-01,100.09700000000001
2011-01-01,98.6254
2011-04-01,99.6764
2011-07-01,98.7695
2011-10-01,97.3849
2012-01-01,96.0858
2012-04-01,94.4295
2012-07-01,92.2334
2012-10-01,90.3482
2013-01-01,87.5526
2013-04-01,87.1016
2013-07-01,85.4596
2013-10-01,84.5976
2014-01-01,83.333
2014-04-01,82.3933
2014-07-01,81.4979
2014-10-01,80.4122
2015-01-01,78.7998
2015-04-01,78.4876
2015-07-01,79.1453
2015-10-01,78.6342
2016-01-01,78.9528
2016-04-01,79.3472
2016-07-01,79.1611
2016-10-01,78.6632
2017-01-01,77.3627
2017-04-01,77.4714
2017-07-01,77.1095
2017-10-01,77.0267
2018-01-01,76.4168
2018-04-01,76.4554
2018-07-01,75.3716
2018-10-01,75.5645
2019-01-01,75.0057
2019-04-01,75.7359
2019-07-01,75.40899999999999
2019-10-01,75.4972
2020-01-01,76.0882
2020-04-01,78.3593
2020-07-01,76.5432
2020-10-01,76.8214
2021-01-01,76.9408
2021-04-01,77.7337
2021-07-01,77.9912
2021-10-01,77.1591
2022-01-01,76.1252
2022-04-01,76.4551
2022-07-01,74.0326
2022-10-01,70.9075
2023-01-01,70.6296
2023-04-01,71.6514
2023-07-01,71.3728
